country,government
Algeria,semi-presidential unitary republic
Angola,presidential unitary republic
Benin,presidential unitary republic
Botswana,parliamentary unitary republic
Burkina Faso,presidential unitary republic
Burundi,presidential unitary republic
Cameroon,presidential unitary republic
Cape Verde,parliamentary unitary republic
Central African Republic,presidential unitary republic
Chad,presidential unitary republic
Comoros,presidential federal republic
Democratic Republic of the Congo,semi-presidential unitary republic
Republic of the Congo,presidential unitary republic
Ivory Coast,presidential unitary republic
Djibouti,presidential unitary republic
Egypt,semi-presidential unitary republic
Equatorial Guinea,presidential unitary republic
Eritrea,presidential unitary republic
Ethiopia,semi-presidential federal republic
Gabon,presidential unitary republic
Gambia,presidential unitary republic
Ghana,presidential unitary republic
Guinea,presidential unitary republic
Guinea-Bissau,semi-presidential unitary republic
Kenya,presidential unitary republic
Lesotho,parliamentary unitary constitutional monarchy
Liberia,presidential unitary republic
Libya,parliamentary republic
Madagascar,semi-presidential devolved republic
Malawi,presidential unitary republic
Mali,presidential unitary republic
Mauritania,semi-presidential republic
Mauritius,semi-presidential unitary republic
Morocco,parliamentary unitary constitutional monarchy
Mozambique,presidential unitary republic
Namibia,presidential unitary republic
Niger,semi-presidential unitary republic
Nigeria,presidential unitary federation
Rwanda,presidential unitary republic
Sao Tome and Principe,semi-presidential unitary republic
Senegal,presidential unitary republic
Seychelles,presidential unitary republic
Sierra Leone,presidential unitary republic
Somalia,semi-presidential federal republic
South Africa,semi-presidential unitary republic
South Sudan,presidential federal republic
Sudan,presidential federal republic
Tanzania,presidential federal republic
Togo,presidential unitary republic
Tunisia,presidential unitary republic
Uganda,presidential unitary republic
Sahrawi Republic,semi-presidential unitary republic
Zambia,presidential unitary republic
Zimbabwe,presidential unitary republic
